"馬番","単勝","複勝下限","複勝上限","人気"
"12","5.6","6.2","10.9","01"
"8","5.6","2.8","4.6","01"
"7","5.9","1.2","1.6","03"
"3","8.1","2.3","3.8","04"
"15","9.1","4.1","7","05"
"9","10.3","3.9","6.7","06"
"6","10.8","5.5","9.6","07"
"11","11.6","1.3","2","08"
"5","18.5","4.3","7.5","09"
"10","19.6","1.2","1.7","10"
"1","26.2","10","17.9","11"
"14","39.3","13.9","24.9","12"
"4","39.3","9.2","16.4","12"
"2","48.4","14.8","26.6","14"
"13","209.8","201.3","362.9","15"
