"馬番","単勝","複勝下限","複勝上限","人気"
"9","1.6","1.1","1.1","01"
"15","6.7","1.6","3","02"
"7","7.5","4.1","8.7","03"
"11","13.4","3","6.1","04"
"10","15.5","2.5","5.1","05"
"16","22.4","4.7","10","06"
"2","23.3","1.8","3.5","07"
"6","24.2","4.1","8.7","08"
"3","43.3","7.9","17.4","09"
"8","46.6","4.5","9.7","10"
"12","60.6","10.1","22.2","11"
"14","67.3","15.4","34.2","12"
"1","75.8","12.7","28.1","13"
"5","86.6","4","8.5","14"
"4","121.2","3.8","7.9","15"
"13","303.2","12.7","28.1","16"
