"馬番","単勝","複勝下限","複勝上限","人気"
"3","3.9","1.5","1.9","01"
"11","4.6","1.8","2.4","02"
"15","5.5","1.7","2.3","03"
"2","6.1","2.2","3","04"
"13","11.2","2.3","3.1","05"
"14","12.1","3.1","4.3","06"
"5","17.3","4.1","5.7","07"
"16","21","4.7","6.6","08"
"7","30.1","5.3","7.5","09"
"9","54.7","9","12.8","10"
"8","85.1","13.8","19.9","11"
"6","97.3","11","15.7","12"
"4","118.1","16.9","24.3","13"
"1","165","21.5","31","14"
"10","192.9","23.1","33.3","15"
"12","197.9","22.2","32.1","16"
