"馬番","単勝","複勝下限","複勝上限","人気"
"7","2.9","1.3","1.6","01"
"1","5.2","1.5","2.1","02"
"10","5.9","1.8","2.5","03"
"5","8.2","3.2","4.9","04"
"8","8.2","4.4","6.8","04"
"4","12.2","3.4","5.2","06"
"9","13","3.2","4.9","07"
"11","27.3","4.3","6.6","08"
"12","28.6","1.5","2.1","09"
"3","30","4","6.2","10"
"2","35.3","28.6","44.2","11"
"6","60","14.5","22.5","12"
