"馬番","単勝","複勝下限","複勝上限","人気"
"5","3.6","1.1","1.4","01"
"3","4.6","1.2","1.7","02"
"1","4.8","2.7","4.6","03"
"8","5.5","1.4","2.2","04"
"7","8","3.6","6.3","05"
"4","14.6","4","7","06"
"9","19.1","4.8","8.4","07"
"10","26.1","5.9","10.4","08"
"2","26.1","2","3.3","08"
"6","29.2","4.6","8","10"
"11","55.2","3.7","6.5","11"
