"馬番","単勝","複勝下限","複勝上限","人気"
"10","1.3","1.1","1.1","01"
"4","4.6","1.3","4.3","02"
"14","13","1.9","7.4","03"
"15","16.1","2.4","10.2","04"
"3","17.4","2.2","9.1","05"
"5","40.8","5.1","23.6","06"
"6","82.1","8.4","40.4","07"
"1","128","7.5","36","08"
"2","142.2","8.1","38.7","09"
"11","245.5","19.4","94.9","10"
"8","272","32","158","11"
"13","275.7","24.2","118.9","12"
"16","289.7","27.7","136.3","13"
"7","312","33.9","167.6","14"
"12","380.5","37.1","183.5","15"
"9","584.4","78.5","389.3","16"
