"馬番","単勝","複勝下限","複勝上限","人気"
"7","2.5","1.1","1.3","01"
"8","3.4","1.2","1.9","02"
"1","4.5","1.4","2.2","03"
"9","6.2","1.5","2.4","04"
"6","11.4","1.8","3.2","05"
"3","48.1","4.7","8.7","06"
"2","95.5","6.4","12","07"
"4","242.3","20.9","39.5","08"
"5","290.1","30.6","58","09"
