"馬番","単勝","複勝下限","複勝上限","人気"
"16","1.8","1.1","1.1","01"
"4","7.6","2","3.6","02"
"9","9.1","2.2","3.9","03"
"13","9.2","1.7","3","04"
"2","12","1.8","3.1","05"
"6","30.3","6.5","12.3","06"
"7","30.3","4","7.4","07"
"5","41.2","12.1","23.5","08"
"15","41.8","7.4","14","09"
"12","49.8","6.8","13","10"
"11","62.1","11.2","21.7","11"
"14","64.3","7","13.5","12"
"8","73.8","7.7","14.8","13"
"3","102.1","11.8","22.8","14"
"10","249","29","56.4","15"
"1","326.6","56.2","109.4","16"
