"馬番","単勝","複勝下限","複勝上限","人気"
"8","3","1.4","1.8","01"
"7","3.2","1.3","1.7","02"
"3","9.6","2.7","4","03"
"5","11.9","1.9","2.8","04"
"2","12.4","2","3","05"
"11","16.6","3.1","4.7","06"
"4","17.3","3.5","5.3","07"
"12","19.1","4.3","6.6","08"
"1","19.7","3.9","6","09"
"14","33.4","6.2","9.7","10"
"13","80.6","10.1","16","11"
"10","99.2","25.4","40.6","12"
"6","113.1","26.9","43","13"
"9","246.7","32.4","51.7","14"
