"馬番","単勝","複勝下限","複勝上限","人気"
"5","3","1.4","1.7","01"
"14","7.8","2.2","3","02"
"1","9.1","2.4","3.4","03"
"3","9.6","2.3","3.2","04"
"18","10","3.1","4.3","05"
"8","12.4","3","4.1","06"
"9","12.6","3.3","4.6","07"
"10","15.8","4.8","6.8","08"
"16","17.7","4.3","6","09"
"15","17.7","4.3","6.1","10"
"7","31.7","5.5","7.8","11"
"12","45.5","8.4","12","12"
"2","105.6","12.6","18","13"
"17","126.8","30.2","43.6","14"
"4","126.8","22.9","33.1","15"
"11","154.1","31.4","45.3","16"
"6","350.2","50.9","73.5","17"
"13","742.3","121.9","175.9","18"
