"馬番","単勝","複勝下限","複勝上限","人気"
"7","3.2","1.5","1.8","01"
"3","4.7","1.8","2.5","02"
"10","5.4","1.8","2.3","03"
"2","6.8","2","2.7","04"
"9","8.9","2","2.7","05"
"1","9.5","2.6","3.6","06"
"13","19.1","3.3","4.7","07"
"11","29","4.2","6","08"
"8","99.2","13.8","20","09"
"4","166.6","19.5","28.4","10"
"5","168","14.4","20.9","11"
"15","190.4","23.2","33.8","12"
"12","238","29","42.3","13"
"14","261.5","31.8","46.3","14"
"6","272.9","34.3","50","15"
