"馬番","単勝","複勝下限","複勝上限","人気"
"8","4.5","2.1","2.9","01"
"6","5.6","1.7","2.2","02"
"16","7.2","1.9","2.6","03"
"5","8.1","1.5","1.8","04"
"15","10.3","4.6","6.5","05"
"3","10.7","4.4","6.3","06"
"10","11.5","6.6","9.6","07"
"4","11.5","4.6","6.5","07"
"7","14.8","3.8","5.4","09"
"11","19.4","4.8","6.8","10"
"9","38.9","7.1","10.2","11"
"2","44.4","10","14.6","12"
"14","51.8","6.2","8.9","13"
"1","62.2","10","14.6","14"
"12","62.2","17.7","25.7","14"
"13","103.7","3.1","4.3","16"
