"馬番","単勝","複勝下限","複勝上限","人気"
"5","1.4","1.1","1.1","01"
"6","5.3","1.3","3.1","02"
"2","14.3","1.9","6.5","03"
"3","15.7","2.4","8.4","04"
"7","17.3","2.2","7.5","05"
"15","21.7","4.2","15.7","06"
"1","26","2.8","10.2","07"
"8","45.9","4.6","17.4","08"
"12","82.5","4.5","17","09"
"4","99.9","8.7","34.6","10"
"13","106","5.6","21.6","11"
"11","116.8","9.5","37.7","12"
"16","137.8","20.3","82.5","13"
"10","164.1","12.2","49","14"
"14","174.5","9.5","37.7","15"
"9","194.1","13","52.2","16"
