"馬番","単勝","複勝下限","複勝上限","人気"
"5","2.6","1.3","1.6","01"
"15","4.4","1.5","2","02"
"2","7.6","1.8","2.6","03"
"9","7.9","1.9","2.8","04"
"11","10.3","2.3","3.5","05"
"1","11.1","3","4.6","06"
"4","16.5","4.1","6.4","07"
"3","38.6","5.3","8.2","08"
"8","68.5","7.1","11.1","09"
"6","78","11.3","18","10"
"10","105.7","16.9","26.9","11"
"14","111.4","13.9","22.1","12"
"7","164.6","21.8","34.8","13"
"16","170.7","14.4","22.9","14"
"13","184.5","25.5","40.7","15"
"12","267","27.9","44.7","16"
