"馬番","単勝","複勝下限","複勝上限","人気"
"1","1.5","1.1","1.1","01"
"8","7.3","1.8","4.3","02"
"7","8.1","2","5.2","03"
"16","13.6","2.2","5.6","04"
"3","14.8","2.6","6.8","05"
"5","19.4","2.9","7.7","06"
"10","31.7","20","58.9","07"
"12","45.5","4.9","13.7","08"
"4","54.2","7.4","21.3","09"
"9","70.3","9.2","26.5","10"
"14","76.1","10.3","29.8","11"
"13","109.6","6.4","18.1","12"
"2","124.6","9","26","13"
"15","152.7","21.1","62","14"
"11","312.6","27.4","80.7","15"
"6","465.2","59.8","176.7","16"
