"馬番","単勝","複勝下限","複勝上限","人気"
"13","2.2","1.1","1.2","01"
"14","4","1.5","2.3","02"
"16","9.6","2","3.5","03"
"5","14.8","2.7","4.6","04"
"12","16","2.8","5","05"
"15","16","2.5","4.3","06"
"8","23.9","3.5","6.2","07"
"9","29.4","5.3","9.6","08"
"2","35.9","6.2","11.3","09"
"7","40.3","6.5","12","10"
"6","49.5","6.8","12.4","11"
"11","72.3","9.9","18.4","12"
"3","112.3","12.2","22.7","13"
"10","130.7","16","29.8","14"
"4","153.3","16.5","30.8","15"
"1","395.9","65.2","122.3","16"
