"馬番","単勝","複勝下限","複勝上限","人気"
"5","2","1.1","1.1","01"
"15","5.1","1.4","2.9","02"
"1","6.2","1.4","2.7","03"
"7","9.2","2.7","5.8","04"
"11","16.7","3.4","7.6","05"
"8","28.2","3.8","8.5","06"
"3","29.2","6.3","14.4","07"
"14","29.3","3.4","7.5","08"
"9","36.4","5.7","12.9","09"
"4","85.2","5.9","13.7","10"
"16","145","13.3","31.3","11"
"6","173","19.7","46.7","12"
"12","205","26","61.8","13"
"2","256.1","35.4","84.3","14"
"10","338.5","22.9","54.4","15"
"13","520.5","65.4","155.8","16"
