"馬番","単勝","複勝下限","複勝上限","人気"
"1","5.5","2.5","4.4","01"
"5","6.5","1.1","1.2","02"
"10","7.6","5.7","10.8","03"
"2","8.1","3.4","6.4","04"
"8","9.1","2.3","4.2","05"
"11","10.4","4.8","9.1","06"
"6","10.9","4.3","8.1","07"
"3","12.9","5.7","10.8","08"
"13","13.1","2.8","5.2","09"
"12","13.3","1.5","2.3","10"
"16","21","2.8","5.2","11"
"9","36.2","6.8","13","12"
"15","37.8","8.1","15.8","13"
"14","69.7","6.1","11.7","14"
"7","69.7","14.3","27.8","14"
"4","100.8","10.8","21.1","16"
