"馬番","単勝","複勝下限","複勝上限","人気"
"9","2.4","1.2","1.5","01"
"1","3.8","1.5","2.2","02"
"5","4.4","1.3","1.8","03"
"4","10.5","2.3","3.6","04"
"2","15.3","2","3","05"
"8","16.1","3","4.8","06"
"7","17.4","2.8","4.4","07"
"6","20.9","3","4.8","08"
"3","40.2","5","8","09"
"10","130.1","18.6","30.2","10"
