"馬番","単勝","複勝下限","複勝上限","人気"
"4","2.5","1.3","1.5","01"
"2","4.3","2","2.8","02"
"1","4.4","1.9","2.6","03"
"7","6.3","2.3","3.1","04"
"6","9.9","4.1","5.7","05"
"5","18.4","5.3","7.4","06"
"3","26.3","8.3","11.4","07"
