"馬番","単勝","複勝下限","複勝上限","人気"
"5","3.5","1.4","1.8","01"
"11","3.6","1.4","1.9","02"
"15","6.2","1.8","2.5","03"
"3","7.1","1.7","2.5","04"
"10","11.6","3.2","4.7","05"
"14","12","2.3","3.3","06"
"16","18.7","3.5","5.2","07"
"2","23.4","4.9","7.4","08"
"13","56.3","12.4","19.2","09"
"6","75.7","9.5","14.6","10"
"12","84.5","14.6","22.5","11"
"4","185.3","33.8","52.7","12"
"1","218.1","29.7","46.2","13"
"8","309.5","39.4","61.3","14"
"9","357.5","49.6","77.3","15"
"7","392.2","47.5","74","16"
