"馬番","単勝","複勝下限","複勝上限","人気"
"5","4.2","1.6","2","01"
"12","4.3","8.3","11.6","02"
"3","6.3","3.6","4.9","03"
"6","7.6","1.7","2.1","04"
"1","8.9","2.1","2.8","05"
"11","9.8","2.1","2.7","06"
"2","13.6","2.6","3.4","07"
"7","21.1","4.6","6.3","08"
"14","22.1","2.9","3.9","09"
"4","30.9","4.6","6.3","10"
"9","38.7","8.3","11.6","11"
"8","42.2","9.8","13.7","12"
"13","51.6","3.7","5.1","13"
"10","66.4","8.3","11.6","14"
