"馬番","単勝","複勝下限","複勝上限","人気"
"12","1.3","4.7","6.2","01"
"14","12.4","2.9","3.7","02"
"8","15.5","3.2","4.1","03"
"2","15.6","2.2","2.8","04"
"9","19.4","2","2.5","05"
"6","21.9","3.8","5","06"
"5","25.2","2.4","3","07"
"17","26.9","3.4","4.4","08"
"15","32.7","5.6","7.3","09"
"11","42.7","2","2.5","10"
"3","54.9","5.9","7.8","11"
"16","66.8","5.6","7.3","12"
"13","109.8","12.1","16","13"
"7","109.8","9.2","12.1","13"
"4","139.7","9.2","12.1","15"
"1","192.2","35.4","46.9","16"
"18","219.6","22.3","29.6","17"
"10","219.6","25.4","33.7","17"
