"馬番","単勝","複勝下限","複勝上限","人気"
"2","3.7","2.8","4.2","01"
"5","5.8","1.8","2.5","02"
"8","7.2","3.2","4.7","03"
"4","8.2","1.3","1.6","04"
"3","8.2","1.4","1.8","04"
"1","10.2","2.1","3","06"
"6","11","3","4.5","07"
"11","12.1","3.2","4.7","08"
"10","12.7","4","6","09"
"7","23.2","7.5","11.2","10"
"9","25.5","3.4","5.1","11"
