"馬番","単勝","複勝下限","複勝上限","人気"
"8","2.5","1.1","1.1","01"
"10","4.2","2","3.5","02"
"15","8.7","2","3.4","03"
"11","11.4","2.5","4.5","04"
"1","15.6","5.1","9.4","05"
"14","17.5","7.1","13.4","06"
"9","18","2.3","3.9","07"
"7","18.6","2.7","4.8","08"
"2","29.8","5.2","9.7","09"
"12","35","3.4","6.2","10"
"6","35","6.5","12.2","10"
"16","39.7","15.2","29.1","12"
"5","42.5","10.7","20.4","13"
"13","49.6","11.6","22","14"
"3","74.5","9.3","17.7","15"
"4","74.5","7.5","14.1","15"
